TargetID	cd1.AVG_Signal	cd2.AVG_Signal	cd3.AVG_Signal	gat1.AVG_Signal	gat2.AVG_Signal	gat3.AVG_Signal
MFI2	1.7	1.2	2.4	2.2	1.0	0.7
MFN1	46.3	48.7	79.1	79.2	55.0	57.3
MFN2	121.4	151.3	184.9	138.7	151.9	136.5
MFNG	91.6	77.1	126.0	55.5	78.5	116.7
MFRP	4.0	4.7	0.4	1.4	0.0	2.0
MFSD1	443.8	404.1	433.7	320.3	691.4	454.1
MFSD10	236.6	204.5	233.7	245.5	298.2	185.9
MFSD11	50.2	40.2	29.7	33.2	30.8	26.5
MFSD2	104.7	21.9	19.4	16.1	0.0	18.1
MFSD3	6.5	6.7	9.7	4.0	11.8	10.4
MFSD4	0.2	0.0	2.3	0.0	6.0	0.6
MFSD7	0.0	0.5	0.0	0.0	2.4	0.0
MFSD7A	4.5	6.7	9.7	2.4	32.3	6.2
MFSD7B	217.5	274.6	243.3	338.9	470.4	300.7
MFSD7C	0.6	0.0	0.0	0.0	0.0	0.9
MFSD8	16.1	16.0	22.7	13.6	22.0	28.9
MFSD9	2.4	0.0	2.3	2.2	8.1	3.5
MG29	0.0	0.0	0.0	1.4	0.8	0.0
MGA	6.5	6.4	8.5	2.5	5.0	8.6
MGAM	8.3	14.1	6.8	23.8	71.3	8.3
MGAT1	13.6	13.2	29.8	15.4	24.1	26.6
MGAT2	0.0	0.0	0.0	0.0	0.0	0.0
MGAT3	3.4	1.2	0.0	0.0	0.0	0.0
MGAT4A	20.2	8.2	1.6	3.6	1.6	1.3
MGAT4B	4.6	6.6	5.3	27.3	41.7	11.4
MGAT4C	0.0	0.0	0.0	0.2	2.2	1.7
MGAT5	1.4	3.1	2.1	0.0	2.6	1.9
MGAT5B	0.0	0.0	0.0	1.4	0.0	0.0
MGC107098	0.0	0.0	0.0	0.0	0.0	0.5
MGC107702	1.8	1.3	6.1	0.0	0.0	2.1
MGC117608	3.7	1.1	0.9	1.7	0.0	3.6
MGC118210	0.0	0.0	0.0	0.3	4.2	0.0
MGC18837	14.9	16.6	12.1	52.9	113.1	31.3
MGC41689	0.0	0.0	0.7	0.0	0.0	0.0
MGC60742	9.6	5.6	4.0	7.9	7.8	7.6
MGC67181	4.8	0.1	12.0	13.5	7.5	6.8
MGC7717	4.5	0.0	4.8	1.0	0.4	5.2
MGEA5	71.4	51.6	103.0	33.6	15.2	20.1
MGEA6	1074.9	1048.5	1086.9	974.4	1079.8	1009.2
MGL1	11.8	16.1	16.1	0.0	95.1	38.8
MGL2	33.3	44.0	31.4	8.8	128.8	66.2
MGLL	10.9	24.7	14.8	52.5	37.9	14.1
MGMT	4.2	18.6	3.8	31.3	3.2	28.0
MGP	0.6	1.2	3.2	4.2	59.0	1.7
MGRN1	791.3	844.3	1039.2	453.0	421.3	788.6
MGST1	78.4	96.0	38.0	77.8	767.0	107.0
MGST2	163.9	167.0	98.3	229.4	1083.4	342.5
MGST3	91.7	308.4	124.4	624.5	286.2	87.3
MIA1	3.1	2.8	7.1	0.9	2.2	4.6
MIA2	0.0	0.0	0.0	0.0	0.0	0.0
MIA3	18.5	15.1	10.5	11.0	8.0	12.5
MIB1	16.8	15.0	4.5	28.3	24.1	15.5
MIB2	225.7	246.1	374.1	220.8	187.4	209.2
MIC2L1	27.0	53.6	51.3	75.8	44.7	38.8
MICAL1	113.7	127.1	179.2	41.2	135.3	139.9
MICAL2	0.0	1.1	0.0	6.5	0.0	0.7
